riesgo_seguro,perdidas_normalizadas,marca,tipo_combustible,aspiracion,numero_puertas,estilo_carroceria,traccion,ubicacion_motor,distancia_ejes,largo,ancho,alto,peso_vacio,tipo_motor,numero_cilindros,tamano_motor,sistema_combustible,diametro_cilindro,carrera_piston,relacion_compresion,caballos_fuerza,rpm_maximas,consumo_ciudad_mpg,consumo_autopista_mpg,precio,largo_norm,ancho_norm,alto_norm,caballos_fuerza_std,consumo_ciudad_L100km,consumo_autopista_L100km,caballos_fuerza_binned,precio_segmento,rango_precio_Bajo,rango_precio_Medio,rango_precio_Alto,tipo_diesel,tipo_nafta,carroceria_convertible,carroceria_hardtop,carroceria_hatchback,carroceria_sedan,carroceria_wagon,traccion_4wd,traccion_fwd,traccion_rwd,motor_ubicacion_front,motor_ubicacion_rear,prediccion_final
3,122.0,alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,13495.0,0.8111484863046613,0.8902777777777777,0.8160535117056856,0.20331547690261095,11.19047619047619,8.703703703703704,Bajo,Bajo,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,14342.968941485411
3,122.0,alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500.0,0.8111484863046613,0.8902777777777777,0.8160535117056856,0.20331547690261095,11.19047619047619,8.703703703703704,Bajo,Bajo,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,14342.968941485411
1,122.0,alfa-romero,gas,std,2.0,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6,152,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500.0,0.8226814031715521,0.9097222222222222,0.8762541806020067,1.354105042632321,12.368421052631579,9.038461538461538,Medio,Bajo,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,18731.800604260356
2,164.0,audi,gas,std,4.0,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950.0,0.8486304661220567,0.9194444444444445,0.9080267558528428,-0.03754745545942139,9.791666666666666,7.833333333333333,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,10727.156105209386
2,164.0,audi,gas,std,4.0,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,5,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450.0,0.8486304661220567,0.9222222222222223,0.9080267558528428,0.3103656690635142,13.055555555555555,10.681818181818182,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,16981.982438013994
2,122.0,audi,gas,std,2.0,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250.0,0.8519942335415667,0.9208333333333333,0.8879598662207359,0.17655292886238513,12.368421052631579,9.4,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,15440.777551431664
1,158.0,audi,gas,std,4.0,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710.0,0.9259971167707832,0.9916666666666667,0.931438127090301,0.17655292886238513,12.368421052631579,9.4,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,16551.818377395703
1,122.0,audi,gas,std,4.0,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920.0,0.9259971167707832,0.9916666666666667,0.931438127090301,0.17655292886238513,12.368421052631579,9.4,Bajo,Medio,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,16914.472652932924
1,158.0,audi,gas,turbo,4.0,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875.0,0.9259971167707832,0.9916666666666667,0.9347826086956522,0.9794293700691595,13.823529411764707,11.75,Medio,Medio,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,18283.635654301008
2,192.0,bmw,gas,std,2.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430.0,0.849591542527631,0.8999999999999999,0.9080267558528428,-0.0643100034996472,10.217391304347826,8.10344827586207,Bajo,Bajo,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,11061.335662061596
